,Year,Banking Crisis ,Systemic Crisis,exch_usd,Domestic Debt,Sovereign External debt2,GDP_Weighted_default,Independence,Currency Crises,Inflation Crises
278,126.0,1.0,0.0,-0.19453878995865292,0.0,0.0,0.0,1,2,1.0
279,127.0,0.0,0.0,-0.19502360573717611,0.0,0.0,0.0,1,0,0.0
280,128.0,0.0,0.0,-0.19453878995865292,0.0,0.0,0.0,1,0,0.0
281,129.0,0.0,0.0,-0.1950932080024096,0.0,0.0,0.0,1,0,0.0
282,130.0,0.0,0.0,-0.19484840003503653,0.0,0.0,0.0,1,0,0.0
283,131.0,1.0,1.0,-0.1944775879668096,0.0,0.0,0.0,1,0,0.0
284,132.0,0.0,0.0,-0.19416557781231455,0.0,0.0,0.0,1,0,0.0
285,133.0,0.0,0.0,-0.2255802002137491,0.0,0.0,0.0,1,0,0.0
286,134.0,1.0,1.0,-0.229513928238499,0.0,0.0,0.0,1,0,0.0
287,135.0,0.0,1.0,-0.20961968077226845,0.0,0.0,0.0,1,1,0.0
288,136.0,0.0,0.0,-0.2098056868259098,0.0,0.0,0.0,1,0,0.0
289,137.0,0.0,0.0,-0.21015729826924467,0.0,0.0,0.0,1,0,0.0
290,138.0,0.0,0.0,-0.20956207889759246,0.0,0.0,0.0,1,0,0.0
291,139.0,1.0,0.0,-0.20841964171651806,0.0,0.0,0.0,1,0,0.0
292,140.0,0.0,0.0,-0.20655118090671465,0.0,0.0,0.0,1,0,0.0
293,160.0,0.0,0.0,-0.26597711494747556,0.0,0.0,0.0,1,0,0.0
294,161.0,0.0,0.0,-0.2659759149084198,0.0,0.0,0.0,1,0,0.0
295,162.0,0.0,0.0,-0.2660059158848136,0.0,0.0,0.0,1,0,0.0
296,163.0,0.0,0.0,-0.2659747148693641,0.0,0.0,0.0,1,0,0.0
297,164.0,0.0,0.0,-0.2660107160410366,0.0,0.0,0.0,1,0,0.0
298,165.0,0.0,0.0,-0.26604311709554185,0.0,0.0,0.0,1,0,0.0
299,166.0,0.0,0.0,-0.26598551522086583,0.0,0.0,0.0,1,0,0.0
300,167.0,0.0,0.0,-0.2660287166268729,0.0,0.0,0.0,1,0,0.0
301,168.0,0.0,0.0,-0.26595551424447206,0.0,0.0,0.0,1,0,0.0
302,169.0,0.0,0.0,-0.2658967123307403,0.0,0.0,0.0,1,0,0.0
303,170.0,0.0,0.0,-0.26603951697837463,0.0,0.0,0.0,1,0,0.0
304,171.0,0.0,0.0,-0.26635512725003696,0.0,0.0,0.0,1,0,0.0
305,172.0,0.0,0.0,-0.2677171715783137,0.0,0.0,0.0,1,0,0.0
306,173.0,0.0,0.0,-0.2692196204761132,0.0,0.0,0.0,1,0,0.0
307,174.0,0.0,0.0,-0.26922202055422473,0.0,0.0,0.0,1,0,0.0
308,175.0,0.0,0.0,-0.26986764156621845,0.0,0.0,0.0,1,0,0.0
